+--------+----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-----------------------+-------+-------+
| commit |      user      |                                                                                                      changed_objects                                                                                                      | top 10 pred |         score         | top 3 | top 5 |
|        |                |                                                                                                                                                                                                                           | (11, 0.443) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (12, 0.443) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (13, 0.443) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (14, 0.443) |                       |       |       |
|   32   |    fraggle     |                                                                                                        [4, 23, 10]                                                                                                        |  (9, 0.525) |  0.10632271117855338  |   0   |   0   |
|        |                |                                                                                                                                                                                                                           | (14, 0.464) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (15, 0.464) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (16, 0.464) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (25, 0.462) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (27, 0.462) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.462) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (24, 0.459) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (26, 0.459) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (28, 0.459) |                       |       |       |
|   36   |    fraggle     |                                                                                                        [22, 33, 9]                                                                                                        |  (9, 0.535) |  0.08342846270928464  |   1   |   1   |
|        |                |                                                                                                                                                                                                                           | (14, 0.461) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (15, 0.461) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (16, 0.461) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (25, 0.459) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (27, 0.459) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.459) |                       |       |       |
|        |                |                                                                                                                                                                                                                           | (24, 0.442) |                       |       |       |
