                    user      modified                                              added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
90     christianbender89          [39]                                                 []             0.033333        9.416667            0.000000      34.997701               0.033708          2.652612
91     christianbender89            []                                              [126]             0.000000        9.425000            0.000000      35.477381               0.000000          2.524940
92     christianbender89         [105]                                                 []             0.008264        9.355372            0.000000      33.477381               0.000000          2.440037
93     christianbender89            []                                              [127]             0.000000        9.355372            0.000000      33.477381               0.000000          3.362718
94        rohit1997gupta            []                                              [128]             0.000000        9.286885            0.000000       0.000000               0.000000          1.623656
95               msvbs98            []                                              [129]             0.000000        9.145161            0.000000       0.000000               0.000000          1.617021
96               msvbs98            []                                              [130]             0.000000        9.007937            0.000000       0.000000               0.000000          1.600000
97               msvbs98         [130]                                                 []             0.007874        8.944882            0.000000       0.000000               0.000000          2.583333
98               msvbs98            []                                              [131]             0.000000        8.944882            0.000000       0.000000               0.000000          2.067010
99               @total@            []                                                 []             3.302371      520.046730           10.539105    1279.385907               2.058811        372.383974
