+--------+-------------------+------------------------------------------------------------------+--------------+-----------------------+-------+-------+
| commit |        user       |                         changed_objects                          | top 10 pred  |         score         | top 3 | top 5 |
|   27   |         mu        |                             [22, 28]                             |  (9, 0.747)  |  0.10910296799867351  |   0   |   1   |
|        |                   |                                                                  |  (7, 0.74)   |                       |       |       |
|        |                   |                                                                  | (10, 0.733)  |                       |       |       |
|        |                   |                                                                  |  (8, 0.727)  |                       |       |       |
|        |                   |                                                                  | (22, 0.712)  |                       |       |       |
|        |                   |                                                                  |  (5, 0.709)  |                       |       |       |
|        |                   |                                                                  | (13, 0.704)  |                       |       |       |
|        |                   |                                                                  | (11, 0.701)  |                       |       |       |
|        |                   |                                                                  | (20, 0.698)  |                       |       |       |
|        |                   |                                                                  | (16, 0.694)  |                       |       |       |
|   28   |         mu        |                               [26]                               |  (7, 0.757)  | 0.0007091080995902931 |   0   |   0   |
|        |                   |                                                                  |  (8, 0.757)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.757)  |                       |       |       |
|        |                   |                                                                  | (10, 0.757)  |                       |       |       |
|        |                   |                                                                  |  (23, 0.73)  |                       |       |       |
|        |                   |                                                                  |  (5, 0.729)  |                       |       |       |
|        |                   |                                                                  | (15, 0.722)  |                       |       |       |
|        |                   |                                                                  | (11, 0.718)  |                       |       |       |
|        |                   |                                                                  |  (13, 0.7)   |                       |       |       |
|        |                   |                                                                  | (18, 0.696)  |                       |       |       |
|   30   |         mu        |                           [11, 22, 18]                           |  (9, 0.746)  |  0.16937168568214686  |   0   |   1   |
|        |                   |                                                                  | (15, 0.738)  |                       |       |       |
|        |                   |                                                                  |  (7, 0.737)  |                       |       |       |
|        |                   |                                                                  | (10, 0.727)  |                       |       |       |
|        |                   |                                                                  | (11, 0.717)  |                       |       |       |
|        |                   |                                                                  |  (8, 0.714)  |                       |       |       |
|        |                   |                                                                  | (23, 0.707)  |                       |       |       |
|        |                   |                                                                  | (16, 0.704)  |                       |       |       |
|        |                   |                                                                  | (13, 0.698)  |                       |       |       |
|        |                   |                                                                  | (22, 0.697)  |                       |       |       |
|   31   |         mu        |                               [5]                                |  (7, 0.757)  |  0.057856515840715037 |   0   |   0   |
|        |                   |                                                                  |  (8, 0.757)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.757)  |                       |       |       |
|        |                   |                                                                  | (10, 0.757)  |                       |       |       |
|        |                   |                                                                  | (15, 0.757)  |                       |       |       |
|        |                   |                                                                  |  (20, 0.73)  |                       |       |       |
|        |                   |                                                                  |  (13, 0.73)  |                       |       |       |
|        |                   |                                                                  |  (5, 0.725)  |                       |       |       |
|        |                   |                                                                  | (16, 0.717)  |                       |       |       |
|        |                   |                                                                  | (11, 0.715)  |                       |       |       |
|   32   |         mu        |                         [11, 23, 22, 15]                         |  (7, 0.757)  |   0.2263008659667407  |   0   |   1   |
|        |                   |                                                                  |  (8, 0.757)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.757)  |                       |       |       |
|        |                   |                                                                  | (10, 0.757)  |                       |       |       |
|        |                   |                                                                  | (15, 0.757)  |                       |       |       |
|        |                   |                                                                  | (11, 0.736)  |                       |       |       |
|        |                   |                                                                  |  (16, 0.73)  |                       |       |       |
|        |                   |                                                                  |  (17, 0.73)  |                       |       |       |
|        |                   |                                                                  |  (20, 0.73)  |                       |       |       |
|        |                   |                                                                  |  (22, 0.73)  |                       |       |       |
|   33   |         mu        |                               [28]                               |  (7, 0.757)  |  0.05153473344103392  |   0   |   0   |
|        |                   |                                                                  |  (8, 0.757)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.757)  |                       |       |       |
|        |                   |                                                                  | (10, 0.757)  |                       |       |       |
|        |                   |                                                                  |  (20, 0.73)  |                       |       |       |
|        |                   |                                                                  | (13, 0.728)  |                       |       |       |
|        |                   |                                                                  | (15, 0.719)  |                       |       |       |
|        |                   |                                                                  | (11, 0.716)  |                       |       |       |
|        |                   |                                                                  | (18, 0.708)  |                       |       |       |
|        |                   |                                                                  | (16, 0.703)  |                       |       |       |
|   34   |         mu        |                             [23, 22]                             |  (7, 0.757)  |  0.11230769230769228  |   0   |   0   |
|        |                   |                                                                  |  (8, 0.757)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.757)  |                       |       |       |
|        |                   |                                                                  | (10, 0.757)  |                       |       |       |
|        |                   |                                                                  | (15, 0.757)  |                       |       |       |
|        |                   |                                                                  |  (22, 0.73)  |                       |       |       |
|        |                   |                                                                  |  (23, 0.73)  |                       |       |       |
|        |                   |                                                                  | (11, 0.725)  |                       |       |       |
|        |                   |                                                                  | (16, 0.716)  |                       |       |       |
|        |                   |                                                                  | (17, 0.709)  |                       |       |       |
|   35   |         mu        |                               [23]                               |  (7, 0.757)  |  0.05454984310885831  |   0   |   0   |
|        |                   |                                                                  |  (8, 0.757)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.757)  |                       |       |       |
|        |                   |                                                                  | (10, 0.757)  |                       |       |       |
|        |                   |                                                                  | (15, 0.757)  |                       |       |       |
|        |                   |                                                                  | (11, 0.736)  |                       |       |       |
|        |                   |                                                                  |  (20, 0.73)  |                       |       |       |
|        |                   |                                                                  | (13, 0.726)  |                       |       |       |
|        |                   |                                                                  | (18, 0.705)  |                       |       |       |
|        |                   |                                                                  | (28, 0.704)  |                       |       |       |
|   36   |         mu        |                       [11, 20, 23, 28, 15]                       |  (7, 0.757)  |   0.2845974046909002  |   0   |   1   |
|        |                   |                                                                  |  (8, 0.757)  |                       |       |       |
|        |                   |                                                                  |  (9, 0.757)  |                       |       |       |
