                  user                                           modified                                            added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
80                  mu                                                [5]                                               []             0.678571       12.035714            0.250000      20.094139               0.000000          0.225000
81                  mu                                                 []                             [66, 67, 68, 69, 70]             0.000000       12.035714            0.000000      20.469963               0.000000          0.202020
82                  mu                                               [15]                                               []             0.666667       10.969697            0.500000      17.118791               0.000000          0.183333
83                  mu                                               [33]                                               []             0.242424       10.969697            0.857143      27.383755               0.000000          5.167832
84                  mu                                               [15]                                               []             0.666667       10.969697            0.666667      23.592280               0.000000          2.654762
85                  mu                                               [15]                                               []             0.666667       10.969697            0.333333      26.766667               0.000000          1.810256
86                  mu                                           [67, 68]                                               []             0.303030       10.969697            1.600000      25.568376               0.500000          1.383929
87                  mu                                                [5]                                               []             0.575758       10.969697            0.250000      20.406435               0.000000          0.725490
88                  mu                                [5, 67, 68, 69, 70]                                               []             1.181818       10.969697            3.464286      25.513095               0.333333          0.618056
89                  mu                                   [67, 68, 69, 70]                                               []             0.727273       11.212121            3.609524      18.624963               0.000000          0.254312
90                  mu                                        [9, 16, 18]                                               []             1.454545       11.212121            2.063364      15.341640               0.000000          0.230556
91                  mu                                            [9, 10]                                               []             1.121212       11.212121            1.666667      17.651179               0.000000          0.211362
92                  mu                                     [5, 9, 10, 11]                                               []             2.454545       11.212121            3.547980      24.033448               0.000000          0.195455
93                  mu                                        [9, 10, 11]                                               []             1.757576       11.212121            2.555976      22.170852               0.000000          0.182006
94                  mu                                                [5]                                               []             0.696970       11.212121            0.923077      21.552094               0.000000          0.170455
95                  mu                                           [11, 22]                                         [74, 75]             1.151515       11.212121            1.823529      21.930357               0.000000          0.160401
96                  mu                        [5, 23, 22, 67, 68, 69, 70]                                               []             2.371429       10.914286            5.261596      20.972348               0.000000          0.151557
97                  mu                                        [5, 74, 75]                                               []             0.885714       11.371429            1.941667      20.173973               2.000000          2.143704
98                  mu                                    [9, 11, 16, 18]                                               []             2.028571       11.485714            3.546520      21.697186               0.000000          0.136676
99                  mu                               [5, 7, 8, 9, 11, 18]                                               []             3.342857       11.485714            5.465225      23.482126               0.000000          0.130343
100                 mu                               [5, 6, 8, 9, 10, 11]                                               []             3.285714       11.485714            5.487689      22.242428               0.000000          0.124603
101                 mu                                      [5, 6, 9, 11]                                               []             2.285714       11.485714            3.476912      21.715213               0.000000          0.119372
102                 mu                                                [5]                                               []             0.714286       11.485714            0.775000      22.129361               0.000000          0.114583
103                 mu                                                [5]                                               []             0.714286       11.485714            0.666667      23.204068               0.000000          0.110180
104                 mu                                               [24]                                               []             0.371429       11.485714            0.692308      24.056881               0.000000          0.106116
105                 mu                                           [28, 30]                                               []             0.742857       11.485714            1.500000      24.076386               0.000000          0.102353
106                 mu                                       [22, 24, 15]                                               []             1.657143       11.485714            3.000000      23.740246               0.000000          0.098856
107                 mu                                               [25]                                               []             0.142857       11.485714            0.333333      24.494431               0.000000          0.095598
108                 mu                                                [5]                                               []             0.714286       11.485714            0.647059      23.954760               0.000000          0.092555
109                 mu                      [5, 7, 9, 10, 13, 16, 17, 18]                                               []             4.000000       11.485714            7.366667      25.350041               0.000000          0.089705
110                 mu                                           [11, 18]                                               []             1.085714       11.485714            1.896526      21.539570               0.000000          0.087030
111                 mu                          [5, 7, 9, 10, 16, 17, 18]                                               []             3.514286       11.485714            6.584491      23.634408               0.000000          0.084514
112                 mu                                                [5]                                               []             0.714286       11.485714            0.795455      21.127237               0.000000          0.082143
113                 mu                                                [5]                                               []             0.714286       11.485714            0.666667      23.436595               0.000000          0.079904
114                 mu                                                [9]                                               []             0.542857       11.485714            1.000000      23.992933               0.000000          0.077787
115                 mu                                                 []                                               []             0.000000       11.485714            0.000000      24.552079               0.000000          0.075781
116                 mu                                               [25]                                               []             0.142857       11.485714            0.000000      20.330574               0.000000          0.044466
117                 mu                                                [5]                                               []             0.714286       11.485714            0.619048      24.530227               0.000000          0.043499
118                 mu                                               [15]                                               []             0.628571       11.485714            1.000000      25.715179               0.000000          0.042572
119                 mu             [7, 9, 11, 13, 23, 74, 26, 28, 34, 15]                                         [78, 79]             4.314286       11.485714            7.724154      25.725212               0.000000          0.041685
