+--------+----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------------------+-------+-------+
| commit |      user      |                                                                                                      changed_objects                                                                                                      | top 10 pred |         score          | top 3 | top 5 |
|   27   |    fraggle     |                                                                                                            [34]                                                                                                           | (24, 0.658) | 0.0004582051449891995  |   0   |   0   |
|        |                |                                                                                                                                                                                                                           | (25, 0.658) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (26, 0.658) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (27, 0.658) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (28, 0.658) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.658) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (11, 0.643) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (12, 0.643) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (13, 0.643) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (14, 0.643) |                        |       |       |
|   28   |    fraggle     |                                                                                                [14, 15, 16, 25, 27, 29, 9]                                                                                                | (24, 0.656) |   0.2954128440366972   |   1   |   2   |
|        |                |                                                                                                                                                                                                                           | (25, 0.656) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (26, 0.656) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (27, 0.656) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (28, 0.656) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.656) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (11, 0.643) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (12, 0.643) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (13, 0.643) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (14, 0.643) |                        |       |       |
|   32   |    fraggle     |                                                                                                        [4, 23, 10]                                                                                                        |  (9, 0.66)  |   0.1055918877213609   |   0   |   0   |
|        |                |                                                                                                                                                                                                                           | (24, 0.654) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (26, 0.654) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (28, 0.654) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (14, 0.649) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (15, 0.649) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (16, 0.649) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (25, 0.644) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (27, 0.644) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (29, 0.644) |                        |       |       |
|   36   |    fraggle     |                                                                                                        [22, 33, 9]                                                                                                        |  (9, 0.691) |  0.08133539572054654   |   1   |   1   |
|        |                |                                                                                                                                                                                                                           |  (5, 0.679) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (8, 0.679) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (21, 0.657) |                        |       |       |
|        |                |                                                                                                                                                                                                                           |  (18, 0.65) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (14, 0.641) |                        |       |       |
|        |                |                                                                                                                                                                                                                           | (15, 0.641) |                        |       |       |
