+--------+----------------------+------------------------------------------------------+--------------+------------------------+-------+-------+
| commit |         user         |                   changed_objects                    | top 10 pred  |         score          | top 3 | top 5 |
|        |                      |                                                      | (24, 0.119)  |                        |       |       |
|        |                      |                                                      | (45, 0.106)  |                        |       |       |
|        |                      |                                                      | (61, 0.087)  |                        |       |       |
|        |                      |                                                      | (62, 0.087)  |                        |       |       |
|  105   |    reuben.morais     |                         [25]                         | (22, 0.139)  |  0.05818353831598866   |   1   |   1   |
|        |                      |                                                      | (21, 0.133)  |                        |       |       |
|        |                      |                                                      | (25, 0.123)  |                        |       |       |
|        |                      |                                                      | (45, 0.106)  |                        |       |       |
|        |                      |                                                      | (36, 0.091)  |                        |       |       |
|        |                      |                                                      | (61, 0.087)  |                        |       |       |
|        |                      |                                                      | (62, 0.087)  |                        |       |       |
|        |                      |                                                      | (63, 0.087)  |                        |       |       |
|        |                      |                                                      | (64, 0.087)  |                        |       |       |
|        |                      |                                                      | (65, 0.087)  |                        |       |       |
|  106   |      andrenatal      |                         [25]                         | (25, 0.135)  |   0.0658536585365854   |   1   |   1   |
|        |                      |                                                      | (22, 0.132)  |                        |       |       |
|        |                      |                                                      | (21, 0.127)  |                        |       |       |
|        |                      |                                                      |  (45, 0.1)   |                        |       |       |
|        |                      |                                                      | (36, 0.088)  |                        |       |       |
|        |                      |                                                      | (61, 0.083)  |                        |       |       |
|        |                      |                                                      | (62, 0.083)  |                        |       |       |
|        |                      |                                                      | (63, 0.083)  |                        |       |       |
|        |                      |                                                      | (64, 0.083)  |                        |       |       |
|        |                      |                                                      | (65, 0.083)  |                        |       |       |
|  110   |    kdavis-mozilla    |                 [77, 75, 36, 21, 22]                 | (22, 0.539)  |  0.31824134705332063   |   2   |   3   |
|        |                      |                                                      |  (24, 0.52)  |                        |       |       |
|        |                      |                                                      | (21, 0.497)  |                        |       |       |
|        |                      |                                                      | (36, 0.489)  |                        |       |       |
|        |                      |                                                      | (25, 0.476)  |                        |       |       |
|        |                      |                                                      | (23, 0.475)  |                        |       |       |
|        |                      |                                                      | (20, 0.466)  |                        |       |       |
|        |                      |                                                      | (11, 0.171)  |                        |       |       |
|        |                      |                                                      | (13, 0.171)  |                        |       |       |
