               user                                           modified                      added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
94          fraggle                                                 []                   [63, 64]             0.000000       25.046512            0.000000      39.956046               0.000000          0.027027
95          fraggle                                               [63]                         []             0.044444       24.022222            0.600000      38.206361               0.000000          0.026316
96          fraggle                                           [63, 64]                         []             0.088889       24.022222            1.200000      38.206361               1.000000          1.025641
97          fraggle                                           [63, 64]                         []             0.088889       24.022222            1.150000      35.401861               0.000000          0.025000
98          fraggle                                           [63, 64]                         []             0.088889       24.022222            1.158974      33.179598               0.000000          0.024390
99          fraggle                                    [41, 22, 33, 9]                         []             1.688889       24.022222            2.193533      31.299442               0.000000          0.023810
100         fraggle                                                 []                       [65]             0.000000       24.022222            0.000000      31.503528               0.000000          0.023256
101         fraggle                                               [63]                         []             0.043478       23.521739            0.533333      34.707659               0.000000          0.022727
102         fraggle                                                 []               [66, 67, 68]             0.000000       23.521739            0.000000      36.083370               0.000000          1.022222
103         fraggle                                       [62, 44, 51]                         []             1.530612       22.265306            1.941353      35.057435               0.000000          0.521739
104         fraggle  [2, 3, 45, 46, 60, 61, 66, 67, 63, 64, 30, 31,...                         []             9.489796       22.306122           16.349489      38.148945               2.000000          3.354610
105         fraggle                                           [34, 33]                         []             1.122449       25.081633            1.746154      36.203882               0.000000          0.770833
106         fraggle                                               [34]                         []             0.693878       25.081633            0.885714      41.023230               0.000000          0.553741
107         fraggle                                               [55]                         []             0.020408       25.081633            0.000000      42.850314               0.020000          0.436667
108         fraggle                                               [66]                         []             0.428571       25.081633            0.953488      42.998840               0.000000          0.342857
109         fraggle                                           [41, 55]                         []             0.102041       25.081633            0.750000      44.153869               0.000000          0.291667
110         fraggle                                               [65]                         []             0.020408       25.122449            0.000000      42.144843               0.111111          0.253968
111         fraggle                                               [44]                         []             0.775510       25.122449            0.941176      43.946280               0.000000          0.125000
112         fraggle                                               [43]                         []             0.632653       25.122449            1.000000      45.376514               0.000000          0.111111
113         fraggle                                           [41, 55]                         []             0.142857       25.122449            1.333333      44.916045               0.000000          0.100000
114         fraggle                                               [65]                         []             0.020408       25.122449            0.000000      42.000464               0.000000          0.090909
115         fraggle                                               [30]                         []             0.775510       25.122449            0.988235      43.960794               0.000000          0.083333
116         fraggle                                       [30, 31, 43]                         []             1.897959       25.122449            2.969231      45.842942               0.000000          0.076923
117         fraggle                                       [34, 33, 44]                         []             1.897959       25.122449            3.000000      43.108240               0.000000          0.071429
118         fraggle                                         [8, 9, 10]                         []             2.081633       25.122449            2.962963      43.070607               0.000000          0.066667
119         fraggle                                       [21, 22, 23]                         []             1.979592       25.122449            3.000000      43.745458               0.000000          0.062500
120         fraggle                                     [21, 22, 8, 9]                         []             2.755102       25.122449            3.906709      43.642582               0.000000          0.058824
121         fraggle                                    [21, 8, 23, 10]                         []             2.857143       25.122449            3.878205      41.917414               0.000000          0.055556
122         fraggle                                   [21, 34, 68, 43]                         []             2.163265       25.122449            2.924444      42.048638               0.052632          0.052632
123         fraggle                                           [63, 30]                         []             1.183673       25.244898            1.905000      42.208160               0.000000          0.000000
124         fraggle                                           [43, 44]                         []             1.428571       25.244898            1.833333      43.471857               0.000000          0.000000
125         fraggle                        [4, 62, 43, 23, 44, 10, 51]                         []             4.142857       25.244898            6.481074      44.167738               0.000000          0.000000
126         fraggle                                               [48]                         []             0.775510       25.367347            1.000000      40.677327               0.000000          0.000000
127         fraggle                            [61, 67, 31, 22, 33, 9]                         []             3.020408       25.367347            5.809939      44.639607               0.000000          0.000000
128         fraggle                                               [22]                         []             0.530612       25.408163            0.935484      40.594633               0.000000          0.000000
129         fraggle              [3, 46, 61, 67, 31, 22, 6, 33, 9, 49]                         []             5.530612       25.408163            9.818182      44.247525               0.000000          0.000000
